"name,","online_order,","book_table,","rate,","votes,","phone,","location,","rest_type,","dish_liked,","cuisines,","approx_cost,","listed_in_type,","listed_in_city,","price_segment,",rating_category
SLV Corner Restaurant,Yes,No,4.1,364,080 49653234,Basavanagudi,Casual Dining,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast","South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Delivery,Banashankari,Medium,Excellent
The Krishna Grand,Yes,No,3.9,888,"080 26711192
+91 7022268193",Banashankari,Casual Dining,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat","North Indian, South Indian, Chinese, Fast Food, Juices",750,Delivery,Banashankari,Medium,Average
Roti Ghar,Yes,No,3.9,750,"080 26629734
+91 9880141967",Basavanagudi,Casual Dining,"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa","North Indian, Chinese, South Indian",500,Delivery,Banashankari,Medium,Average
The Coffee Shack,Yes,Yes,4.2,164,+91 9731644212,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Delivery,Banashankari,Medium,Excellent
Baisakhi,Yes,No,3.8,527,+91 7204339999,Basavanagudi,Casual Dining,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",North Indian,500,Delivery,Banashankari,Medium,Average
Corner House Ice Cream,No,No,4.3,345,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Desserts,Banashankari,Low,Excellent
Poonam Sweets,No,No,4.4,356,"080 26714711
+91 9844188316",Banashankari,Sweet Shop,"Dhokla, Jalebi, Badam Milk, Rabri, Rasgulla, Rasmalai, Samosa Kachori",Mithai,150,Desserts,Banashankari,Low,Excellent
Old Mumbai Ice Cream,Yes,No,3.9,38,080 49652445,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Desserts,Banashankari,Low,Average
Polar Bear,Yes,No,3.9,116,080 45128775,Banashankari,Dessert Parlor,"Sandwiches, Hot Chocolate Fudge, Strawberry Milkshake","Ice Cream, Desserts, Beverages, Sandwich",400,Desserts,Banashankari,Low,Average
San Churro Cafe,Yes,No,3.8,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Desserts,Banashankari,Medium,Average
Kirthi's Biryani,Yes,No,3.8,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Desserts,Banashankari,Medium,Average
Stoned Monkey,Yes,No,4.3,860,"+91 9972710694
+91 9972710894",Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Desserts,Banashankari,Medium,Excellent
Floured-Baked With Love,No,No,3.8,45,"+91 9845552266
+91 9845552288",Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Desserts,Banashankari,Low,Average
Waffle-A-Go Go,Yes,No,3.9,70,+91 9900281611,Banashankari,Dessert Parlor,Waffles,"Fast Food, Desserts, Ice Cream",400,Desserts,Banashankari,Low,Average
Sri Venkateshwara Sweet Meat Stall,No,No,4,98,080 26677131,Basavanagudi,"Sweet Shop, Quick Bites","Mysore Pak, Pav Bhaji, Chaat, Masala Poori, Badam Milk, Paratha, Panipuri","Mithai, Street Food, North Indian, Chinese",400,Desserts,Banashankari,Low,Excellent
Redberrys,Yes,No,4,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Desserts,Banashankari,Medium,Excellent
Amande Patisserie,Yes,No,4,73,080 26761080,Basavanagudi,Bakery,"Macaroon, Mousse, Caramel Eclair","Bakery, French, Desserts",300,Desserts,Banashankari,Low,Excellent
A2B Veg - Adyar Ananda Bhavan,Yes,No,2.7,97,"080 26621222
080 41203999",Basavanagudi,Casual Dining,Masala Dosa,"South Indian, North Indian, Chinese, Street Food",400,Desserts,Banashankari,Low,Poor
The Krishna Grand,Yes,No,3.9,888,"080 26711192
+91 7022268193",Banashankari,Casual Dining,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat","North Indian, South Indian, Chinese, Fast Food, Juices",750,Dine-out,Banashankari,Medium,Average
Sea Spice by 7 Star,Yes,Yes,4,349,080 49653393,Banashankari,Casual Dining,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,Dine-out,Banashankari,High,Excellent
Mini Punjabi Dhaba,Yes,No,4.2,287,"+91 9845044074
+91 7406012344",Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Dine-out,Banashankari,Low,Excellent
Onesta,Yes,Yes,4.6,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Dine-out,Banashankari,Medium,Excellent
Wamama,Yes,Yes,4.2,354,"+91 8042111599
+91 8971818009",Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Dine-out,Banashankari,Medium,Excellent
Jalsa,Yes,Yes,4.1,775,"080 42297555
+91 9743772233",Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Dine-out,Banashankari,Medium,Excellent
Vinny's,Yes,Yes,4.2,2115,080 26716795,Banashankari,Casual Dining,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad","Pizza, Italian, Continental, Desserts",800,Dine-out,Banashankari,Medium,Excellent
Jcubez,No,Yes,3.8,977,"+91 9740425235
+91 8746006497",Banashankari,Lounge,"Beer, Chicken Wings, Chilli Chicken, Onion Rings, Fries",Finger Food,1300,Dine-out,Banashankari,High,Average
Gustoes Beer House,No,No,4.1,868,080 49653521,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Dine-out,Banashankari,High,Excellent
Penthouse Cafe,Yes,No,4,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Dine-out,Banashankari,Medium,Excellent
Spice Elephant,Yes,No,4.1,787,080 41714161,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Dine-out,Banashankari,Medium,Excellent
Smacznego,Yes,No,4.2,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Dine-out,Banashankari,Medium,Excellent
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,"080 26724489
+91 7406048982",Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Dine-out,Banashankari,Medium,Excellent
Cafe Shuffle,Yes,Yes,4.2,150,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Dine-out,Banashankari,Medium,Excellent
The Coffee Shack,Yes,Yes,4.2,164,+91 9731644212,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Dine-out,Banashankari,Medium,Excellent
Peppy Peppers,No,No,4.2,244,"+91 8042297555
+91 7022455300",Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Dine-out,Banashankari,Medium,Excellent
Anna Kuteera,Yes,No,4,771,+91 9620009302,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Dine-out,Banashankari,Low,Excellent
Szechuan Dragon,Yes,No,4.2,1647,"00 919663567711
+91 9916326323",Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Dine-out,Banashankari,Medium,Excellent
1947,No,Yes,4,808,"080 26791213
+91 9739989446",Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Dine-out,Banashankari,Medium,Excellent
Caf-Eleven,No,No,4,424,080 49577715,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Dine-out,Banashankari,Low,Excellent
Thamboola,Yes,No,3.9,135,"080 26711258
+91 9845154172",Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Dine-out,Banashankari,Medium,Average
San Churro Cafe,Yes,No,3.8,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Dine-out,Banashankari,Medium,Average
Cafe Vivacity,Yes,No,3.8,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Dine-out,Banashankari,Medium,Average
Chung Wah,Yes,No,3.9,519,"080 41553388
+91 8041604095",Banashankari,Casual Dining,"Tom Yum Soup, Wine, Spring Roll, Singapore Noodles, Manchow Soup, Golden Fried Prawns, Lamb","Chinese, Momos, Thai, Vietnamese",900,Dine-out,Banashankari,Medium,Average
Vietnamese Kitchen,Yes,No,3.6,105,"080 26697884
080 26697883",Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Dine-out,Banashankari,Medium,Average
Catch-up-ino,Yes,No,3.9,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Dine-out,Banashankari,Medium,Average
Kirthi's Biryani,Yes,No,3.8,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Dine-out,Banashankari,Medium,Average
T3H Cafe,No,No,3.9,93,+91 8884726600,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Dine-out,Banashankari,Low,Average
Srikrishna Bhavan,Yes,No,3.8,42,"+91 9590895055
+91 9845664745",Banashankari,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,Dine-out,Banashankari,Low,Average
Dal Tadkaa,Yes,No,2.5,247,"080 26691763
+91 9620138000",Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,Dine-out,Banashankari,Medium,Poor
The Vintage Cafe,Yes,No,3,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Dine-out,Banashankari,Low,Average
Green Gardenia,Yes,No,3.8,160,"080 26698822
+91 9945704570",Banashankari,Casual Dining,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700,Dine-out,Banashankari,Medium,Average
Kadala Tarangaa,Yes,No,3.6,129,"+91 9743491480
+91 9483528275",Banashankari,Casual Dining,"Sea Food, Neer Dosa","Mangalorean, Seafood, North Indian",600,Dine-out,Banashankari,Medium,Average
Vi Ra's Bar and Restaurant,No,No,3.3,62,"+91 9845063930
+91 7411148111",Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Dine-out,Banashankari,Medium,Average
Nandhini Deluxe,No,No,2.6,283,"080 26890011
080 26890033",Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Dine-out,Banashankari,Medium,Poor
J Spice,Yes,No,3.8,59,"+91 8026739252
+91 9008520007",Banashankari,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750,Dine-out,Banashankari,Medium,Average
Swadesh Tadka,Yes,No,3.5,179,"080 42151252
+91 9886681252",Banashankari,Casual Dining,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani","North Indian, Chinese, Beverages",600,Dine-out,Banashankari,Medium,Average
Iyer's Tiffin Centre,No,No,3.8,62,+91 9986669388,Banashankari,Quick Bites,"Kesari Bath, Masala Dosa","South Indian, Chinese",150,Dine-out,Banashankari,Low,Average
Darbar,No,No,3,98,+91 8861271465,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Dine-out,Banashankari,Medium,Average
Beijing Bites,No,No,2.7,128,"080 42068388
080 42068488",Banashankari,Casual Dining,"Cantonese Noodles, Basil Chicken, Hunan Chicken Gravy, Manchow Soup, Dragon Chicken, Chicken Grill","Chinese, Thai",850,Dine-out,Banashankari,Medium,Poor
The Pizzeria,Yes,No,2.8,45,"+91 9845154172
+91 9620344606",Banashankari,Casual Dining,Pesto Pizza,"Pizza, Italian, Salad",800,Dine-out,Banashankari,Medium,Poor
As On Fire,Yes,No,3.5,41,+91 9731111852,South Bangalore,Food Truck,Pizza,"Pizza, Fast Food, BBQ",400,Dine-out,Banashankari,Low,Average
Pizza Hut,Yes,No,3.7,405,"080 39883988
080 26799999",Banashankari,Casual Dining,"Pizza, Potato Wedges, Country Feast, Pasta, Garlic Bread, Lemonade","Pizza, Fast Food",750,Dine-out,Banashankari,Medium,Average
New Prashanth Hotel,Yes,No,3.9,388,"080 49569558
+91 8197819686",Banashankari,Casual Dining,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650,Dine-out,Banashankari,Medium,Average
Taaza Thindi,No,No,4.7,651,080 49510845,Banashankari,Quick Bites,"Masala Dosa, Vada, Upma, Filter Coffee, Kesari Bath, Idli Chutney, Kharabath",South Indian,100,Dine-out,Banashankari,Low,Excellent
Ayodhya Upachar,Yes,No,4.3,734,"080 26694999
00 09901269901",Banashankari,Quick Bites,"Panneer Butter Masala, Vada, Curd Rice, Idli, Jeera Rice, Naan, Kulcha","South Indian, North Indian, Chinese, Street Food",200,Dine-out,Banashankari,Low,Excellent
Roving Feast,No,No,4,1047,"080 42024092
080 42274242",Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Dine-out,Banashankari,Low,Excellent
KFC,Yes,No,3.8,505,080 33994444,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Dine-out,Banashankari,Low,Average
Gama Gama,Yes,No,3.9,264,"+91 9739946098
+91 9538433344",Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Dine-out,Banashankari,Low,Average
McDonald's,Yes,No,3.9,286,"080 66000666
080 42005285",Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Dine-out,Banashankari,Medium,Average
Sri Laxmi Venkateshwara Coffee Bar,No,No,4.4,343,+91 8971691805,Banashankari,Quick Bites,"Masala Dosa, Idli Chutney, Kharabath, Filter Coffee, Kesari Bath, Idli Vada, Maddur Vada",South Indian,100,Dine-out,Banashankari,Low,Excellent
Messy Bowl,No,No,3.8,70,+91 8553453196,Banashankari,Quick Bites,"Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi","Fast Food, Beverages",500,Dine-out,Banashankari,Medium,Average
Janahaar,Yes,No,3.8,70,+91 9740290589,Banashankari,Quick Bites,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",South Indian,100,Dine-out,Banashankari,Low,Average
Chumma Delicious,Yes,No,3.7,237,"+91 9341262402
+91 9108648373",Banashankari,Quick Bites,Chicken Biryani,"South Indian, Fast Food",200,Dine-out,Banashankari,Low,Average
Bengaluru Coffee House,Yes,No,4.1,201,+91 9740180090,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Dine-out,Banashankari,Low,Excellent
Foodiction,Yes,No,2.8,506,+91 9916107070,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,Dine-out,Banashankari,Medium,Poor
The Biryani Cafe,No,No,4.1,520,+91 7010846043,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Dine-out,Banashankari,Low,Excellent
Addhuri Udupi Bhojana,No,No,3.7,88,+91 9620009302,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Dine-out,Banashankari,Low,Average
Subway,Yes,No,3.7,136,"080 42136088
080 26719446",Banashankari,Quick Bites,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600,Dine-out,Banashankari,Medium,Average
Hotel Mangala,No,No,3.9,88,+91 9480126092,Banashankari,Quick Bites,"Khali Dosa, Kali Dosa, Masala Dosa, Vada Sambar",South Indian,250,Dine-out,Banashankari,Low,Average
SLV Swadishta,No,No,3.8,189,+91 9900166783,Banashankari,Quick Bites,"Coffee, Jeera Rice, Masala Dosa, Neer Dosa",South Indian,300,Dine-out,Banashankari,Low,Average
Upahar Sagar,No,No,3.8,39,"+91 9164571705
080 26760336",Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Dine-out,Banashankari,Low,Average
Domino's Pizza,Yes,No,3.9,540,"080 26710070
18602100000",Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Dine-out,Banashankari,Medium,Average
New Sagar Fast Food,No,No,3.6,71,080 26917517,Banashankari,Quick Bites,"Vegetable Biryani, Masala Dosa, Kulcha, Masala Papad, Tomato Soup","North Indian, South Indian",250,Dine-out,Banashankari,Low,Average
Chicken Hunt,Yes,No,3.5,88,"+91 8762427116
+91 9591490143",Banashankari,Quick Bites,Chicken Grill,"South Indian, North Indian, Chinese, Biryani",350,Dine-out,Banashankari,Low,Average
Pizza Stop,Yes,No,3,87,080 46640404,Banashankari,Quick Bites,"Garlic Bread, Pasta, Nachos, Salsa, Thin Crust Pizza","Pizza, Italian",600,Dine-out,Banashankari,Medium,Average
Faasos,Yes,No,4.2,415,+91 7700020020,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Dine-out,Banashankari,Medium,Excellent
Rasoi,Yes,No,3.3,128,"+91 9738019114
080 66816116",Banashankari,Quick Bites,"Lassi, Panneer Butter Masala, Paratha, Thali","North Indian, Chinese",300,Dine-out,Banashankari,Low,Average
SLV Refreshment,No,No,4.1,94,+91 9480243556,Banashankari,Quick Bites,"Coffee, Masala Dosa, Kharabath, Idli Vada, Kesari Bath",South Indian,100,Dine-out,Banashankari,Low,Excellent
Chatar Patar,No,No,3.7,65,+91 7619353103,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Dine-out,Banashankari,Low,Average
Kidambi's Kitchen,No,No,3.5,52,"080 42112211
+91 9880412211",Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Dine-out,Banashankari,Low,Average
Tandoori Knight,Yes,No,3,290,"+91 9035297404
+91 9731504721",Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Dine-out,Banashankari,Low,Average
Utsav,Yes,No,3.7,59,+91 9632695401,Banashankari,Quick Bites,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav","North Indian, Street Food",200,Dine-out,Banashankari,Low,Average
Mane Thindi,No,No,3.7,130,+91 9964410276,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Dine-out,Banashankari,Low,Average
Juicy Momos,Yes,No,3.5,80,+91 9538550509,Banashankari,Quick Bites,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos","Tibetan, Momos",250,Dine-out,Banashankari,Low,Average
Donne Biriyani House,Yes,No,3.9,441,"+91 8197743537
080 26690642",Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Dine-out,Banashankari,Low,Average
Matru Sagar,Yes,No,3.6,84,+91 9972368854,Banashankari,Quick Bites,"Coffee, Masala Dosa","South Indian, North Indian, Chinese",250,Dine-out,Banashankari,Low,Average
Kavali,No,No,4,42,+91 9900998811,Banashankari,Quick Bites,"Cheese Dosa, Chocolate Dosa, Corn Dosa, Pesarattu, Bread Dosa","South Indian, Street Food",300,Dine-out,Banashankari,Low,Excellent
Bunt's Biriyani Palace,Yes,No,3,213,"080 26697231
+91 8711090256",Banashankari,Quick Bites,"Neer Dosa, Sea Food, Pepper Chicken","North Indian, South Indian, Chinese, Biryani, Seafood",400,Dine-out,Banashankari,Low,Average
Ranganna Military Hotel,No,No,4.2,725,080 43027346,Jayanagar,Quick Bites,"Mutton Biryani, Mutton Chops, Chicken Biryani, Chicken Fry, Paya, Mutton Fry, Chilli Chicken","South Indian, Biryani",350,Dine-out,Banashankari,Low,Excellent
Roti Ghar,Yes,No,3.9,750,"080 26629734
+91 9880141967",Basavanagudi,Casual Dining,"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa","North Indian, Chinese, South Indian",500,Dine-out,Banashankari,Medium,Average
Grand Village,No,No,3.8,166,"+91 8026612447
+91 9901210005",Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Dine-out,Banashankari,Medium,Average
Vidyarthi Bhavan,No,No,4.4,4460,080 26677588,Basavanagudi,Quick Bites,"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa",South Indian,150,Dine-out,Banashankari,Low,Excellent
Bharjari Oota,No,No,3.9,153,080 26629734,Basavanagudi,Casual Dining,"Curd Rice, Coriander Soup, Masala Dosa, Biryani, Thali",South Indian,350,Dine-out,Banashankari,Low,Average
Gokul Veg,Yes,No,3.8,469,"+91 9980978388
080 26627612",Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Dine-out,Banashankari,Medium,Average
SLV Corner Restaurant,Yes,No,4.1,364,080 49653234,Basavanagudi,Casual Dining,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast","South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Dine-out,Banashankari,Medium,Excellent
Timepass Dinner,Yes,No,3.8,286,"+91 9980040002
+91 9980063005",Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Dine-out,Banashankari,Medium,Average
Baisakhi,Yes,No,3.8,527,+91 7204339999,Basavanagudi,Casual Dining,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",North Indian,500,Dine-out,Banashankari,Medium,Average
Eat Repeat,Yes,No,3.9,101,"+91 9945607074
+91 9880308011",Basavanagudi,Quick Bites,"Sweet Pongal, Curd Rice",South Indian,150,Dine-out,Banashankari,Low,Average
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,"+91 9448305384
+91 9060079480",Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Dine-out,Banashankari,Low,Excellent
Srinathji's Cafe,No,No,3.8,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Dine-out,Banashankari,Medium,Average
Soho Bar & Grill,No,No,2.7,377,"080 41609445
080 41609443",Basavanagudi,Pub,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries","North Indian, Chinese, Thai",1100,Dine-out,Banashankari,High,Poor
Kollapuri's,No,No,3.9,206,080 41205839,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450,Dine-out,Banashankari,Low,Average
Bhavani Restaurant,No,No,3.9,100,"+91 7349414217
080 43752748",Basavanagudi,Quick Bites,"Coffee, Vada, Curd Rice, Ghee Roast Paneer, Thali","South Indian, North Indian, Chinese",300,Dine-out,Banashankari,Low,Average
Puliyogare Point,Yes,No,4.2,444,"+91 9986953484
+91 9880156235",Basavanagudi,Quick Bites,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",South Indian,100,Dine-out,Banashankari,Low,Excellent
Zephyr,No,No,3.9,133,"+91 9632248392
080 41476255",Basavanagudi,Casual Dining,"Chilli Paneer Pizza, Mocktails, French Fries, White Sauce Pasta, Nachos, Manchurian","Italian, Continental",650,Dine-out,Banashankari,Medium,Average
Redberrys,Yes,No,4,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Dine-out,Banashankari,Medium,Excellent
Hotel Dwarka,No,No,4.2,253,"080 25905217
+91 9886757366",Basavanagudi,Quick Bites,"Khali Dosa, Kali Dosa, Upma, Filter Coffee, Kesari Bath, Set Dosa, Masala Dosa",South Indian,250,Dine-out,Banashankari,Low,Excellent
