name,location,rest_type,online_order,book_table,rate,votes,approx_cost,cuisines,listed_in_type,listed_in_city,price_segment,rating_category
Vaho Kafe & Pressery,Bannerghatta Road,Cafe,No,No,3.9,125,500,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",Cafes,Bannerghatta Road,Medium,Average
Dreamcatcher,Bannerghatta Road,Cafe,Yes,No,3.9,49,600,Cafe,Cafes,Bannerghatta Road,Medium,Average
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery",No,No,3.8,69,700,"Cafe, Bakery",Cafes,Bannerghatta Road,Medium,Average
Kalmane Koffees,Bannerghatta Road,Cafe,No,No,3.9,78,350,Cafe,Cafes,Bannerghatta Road,Medium,Average
Brews N Bites,Bannerghatta Road,"Quick Bites, Cafe",Yes,No,2.7,48,650,"Chinese, Fast Food, Cafe, Street Food, Finger Food",Cafes,Bannerghatta Road,Medium,Poor
Slate Cafe,JP Nagar,Cafe,Yes,No,4.1,46,600,"Cafe, Sandwich, Burger",Cafes,Bannerghatta Road,Medium,Excellent
Dialogues,JP Nagar,Cafe,No,No,4.0,129,600,"Cafe, Continental",Cafes,Bannerghatta Road,Medium,Excellent
Mudpipe Cafe,JP Nagar,Cafe,Yes,Yes,3.9,727,800,"Cafe, Continental, North Indian",Cafes,Bannerghatta Road,High,Average
TAB - Take A Break,JP Nagar,Cafe,No,No,4.1,521,550,"Cafe, Continental, Italian",Cafes,Bannerghatta Road,Medium,Excellent
Biggies Burger 'n' More,JP Nagar,"Quick Bites, Cafe",Yes,No,4.1,203,650,"Cafe, Burger, Beverages",Cafes,Bannerghatta Road,Medium,Excellent
Onesta,JP Nagar,"Casual Dining, Cafe",Yes,Yes,4.4,4381,600,"Pizza, Cafe, Italian",Cafes,Bannerghatta Road,Medium,Excellent
Cafe Potpourri,JP Nagar,Cafe,Yes,No,3.7,131,400,"Cafe, Sandwich, North Indian, Beverages, Desserts",Cafes,Bannerghatta Road,Medium,Average
Vinaya Coffee Moments,JP Nagar,Cafe,Yes,No,3.7,46,450,"Burger, Cafe, Desserts, Sandwich, Italian",Cafes,Bannerghatta Road,Medium,Average
Cuppa,JP Nagar,Cafe,No,No,3.4,48,550,"Cafe, Fast Food",Cafes,Bannerghatta Road,Medium,Average
Skytouch Le Cafe,JP Nagar,Cafe,Yes,No,3.7,127,700,"Cafe, Italian, Desserts",Cafes,Bannerghatta Road,Medium,Average
Woodee Pizza,JP Nagar,Cafe,Yes,No,2.7,85,500,"Cafe, Pizza, Fast Food, Beverages",Cafes,Bannerghatta Road,Medium,Poor
Sai Abhiruchi,BTM,Casual Dining,Yes,No,3.7,335,800,"Andhra, North Indian, Biryani",Delivery,Bannerghatta Road,High,Average
Capsicum Family Restaurant,BTM,Casual Dining,Yes,No,3.8,254,800,"Biryani, North Indian",Delivery,Bannerghatta Road,High,Average
Easy Bites,JP Nagar,"Takeaway, Delivery",Yes,No,4.1,63,300,"Fast Food, Sandwich",Delivery,Bannerghatta Road,Medium,Excellent
Hiyar Majhe Kolkata,BTM,Quick Bites,Yes,No,4.0,244,400,"Bengali, North Indian",Delivery,Bannerghatta Road,Medium,Excellent
Sri Lakshmi Dhaba,BTM,Quick Bites,Yes,No,2.9,255,250,North Indian,Delivery,Bannerghatta Road,Low,Poor
XO Belgian Waffle,BTM,Dessert Parlor,Yes,No,4.5,549,400,"Desserts, Beverages",Delivery,Bannerghatta Road,Medium,Excellent
Swadista Aahar,BTM,Quick Bites,Yes,No,4.1,775,300,"South Indian, North Indian, Chinese, Street Food",Delivery,Bannerghatta Road,Medium,Excellent
Al-Bek,JP Nagar,"Takeaway, Delivery",Yes,No,3.6,208,300,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",Delivery,Bannerghatta Road,Medium,Average
Aniram's,JP Nagar,Delivery,Yes,No,4.1,739,500,"Chinese, North Indian",Delivery,Bannerghatta Road,Medium,Excellent
Punjabi Nawabi,Bannerghatta Road,Quick Bites,Yes,No,3.8,310,400,North Indian,Delivery,Bannerghatta Road,Medium,Average
Swad Punjab Da,BTM,Quick Bites,Yes,No,4.0,126,150,North Indian,Delivery,Bannerghatta Road,Low,Excellent
BOX8- Desi Meals,Bannerghatta Road,"Takeaway, Delivery",Yes,No,4.1,427,500,"North Indian, Mughlai, Fast Food",Delivery,Bannerghatta Road,Medium,Excellent
Roti Wala,BTM,Quick Bites,Yes,No,4.0,197,300,North Indian,Delivery,Bannerghatta Road,Medium,Excellent
Midnight Mania,BTM,Quick Bites,Yes,No,4.1,601,700,"Pizza, Italian, Beverages",Delivery,Bannerghatta Road,Medium,Excellent
Kitchens@JP Nagar,JP Nagar,"Takeaway, Delivery",Yes,No,3.9,488,400,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Delivery,Bannerghatta Road,Medium,Average
Krishna Kuteera,Bannerghatta Road,Quick Bites,Yes,No,4.0,396,400,"South Indian, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Excellent
Apna Punjab,BTM,Quick Bites,Yes,No,3.6,474,450,"North Indian, Chinese, Fast Food",Delivery,Bannerghatta Road,Medium,Average
Paratha Junction,BTM,Quick Bites,Yes,No,2.9,172,300,"North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Poor
Nellore Bhojanam,Bannerghatta Road,Quick Bites,Yes,No,3.1,175,250,Andhra,Delivery,Bannerghatta Road,Low,Average
Momoz,BTM,Casual Dining,Yes,No,4.0,939,600,"Chinese, Momos",Delivery,Bannerghatta Road,Medium,Excellent
Kalingas,BTM,Quick Bites,Yes,No,3.9,173,250,"Oriya, Fast Food",Delivery,Bannerghatta Road,Low,Average
Kanteen The Eatery,Bannerghatta Road,Quick Bites,Yes,No,3.9,77,400,North Indian,Delivery,Bannerghatta Road,Medium,Average
Kullad Cafe,BTM,Cafe,Yes,No,3.9,326,200,"North Indian, Cafe, Fast Food, Beverages",Delivery,Bannerghatta Road,Low,Average
Donne Biriyani House,JP Nagar,Quick Bites,Yes,No,3.3,212,350,"Biryani, Andhra",Delivery,Bannerghatta Road,Medium,Average
Litti Twist,BTM,Quick Bites,Yes,No,4.1,464,300,"North Indian, Bihari",Delivery,Bannerghatta Road,Medium,Excellent
FreshMenu,Bannerghatta Road,Delivery,Yes,No,3.3,628,450,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,Bannerghatta Road,Medium,Average
Shanthi Sagar,JP Nagar,Casual Dining,Yes,No,3.6,518,400,"South Indian, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Cakebuy,Bannerghatta Road,Dessert Parlor,Yes,No,3.9,70,350,Desserts,Delivery,Bannerghatta Road,Medium,Average
Five Star Chicken,JP Nagar,Quick Bites,Yes,No,3.9,62,300,"Burger, Fast Food, Roast Chicken, Finger Food",Delivery,Bannerghatta Road,Medium,Average
Corner House Ice Cream,Jayanagar,Dessert Parlor,Yes,No,4.4,819,400,"Ice Cream, Desserts",Delivery,Bannerghatta Road,Medium,Excellent
Fattoush,Bannerghatta Road,Casual Dining,Yes,Yes,4.2,1964,1000,"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",Delivery,Bannerghatta Road,High,Excellent
Behrouz Biryani,Bannerghatta Road,Delivery,Yes,No,4.0,138,650,Biryani,Delivery,Bannerghatta Road,Medium,Excellent
Abhiruchi Hotel,Bannerghatta Road,Casual Dining,Yes,No,3.3,455,550,"Andhra, Biryani, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Hind Ka Chulah,Bannerghatta Road,Food Court,Yes,No,3.8,181,600,"North Indian, Biryani",Delivery,Bannerghatta Road,Medium,Average
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,Quick Bites,Yes,No,3.6,43,300,Bohri,Delivery,Bannerghatta Road,Medium,Average
Pizza Hut,JP Nagar,Quick Bites,Yes,No,2.7,159,750,Pizza,Delivery,Bannerghatta Road,High,Poor
Subway,Bannerghatta Road,Quick Bites,Yes,No,3.2,166,600,"Salad, Fast Food",Delivery,Bannerghatta Road,Medium,Average
Biryani Durbar,Bannerghatta Road,"Takeaway, Delivery",Yes,No,3.7,128,400,"Biryani, North Indian",Delivery,Bannerghatta Road,Medium,Average
Mahesh Friends Food Center,BTM,Quick Bites,Yes,No,2.9,126,300,"Chinese, North Indian",Delivery,Bannerghatta Road,Medium,Poor
Kabab Magic,Jayanagar,Quick Bites,Yes,No,4.0,952,400,"North Indian, Kebab, Chinese, Fast Food",Delivery,Bannerghatta Road,Medium,Excellent
Burger King,Bannerghatta Road,Quick Bites,Yes,No,3.8,472,600,"Burger, Fast Food, Beverages",Delivery,Bannerghatta Road,Medium,Average
Dadi's Dum Biryani,Bannerghatta Road,Casual Dining,Yes,Yes,4.0,739,800,"Biryani, North Indian, Mughlai",Delivery,Bannerghatta Road,High,Excellent
Alankrutha,BTM,Casual Dining,Yes,No,3.9,255,500,"Andhra, Biryani, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Paradise,JP Nagar,Casual Dining,Yes,No,4.0,1974,800,"Biryani, North Indian, Kebab",Delivery,Bannerghatta Road,High,Excellent
Andhra Ruchulu,JP Nagar,Casual Dining,Yes,Yes,4.2,1428,800,"Andhra, North Indian",Delivery,Bannerghatta Road,High,Excellent
Adithya,JP Nagar,Quick Bites,Yes,No,4.0,332,300,"South Indian, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Excellent
Cheesiano Pizza,JP Nagar,Quick Bites,Yes,Yes,4.0,199,700,"Pizza, Italian",Delivery,Bannerghatta Road,Medium,Excellent
KFC,JP Nagar,Quick Bites,Yes,No,3.9,437,400,"Burger, Fast Food",Delivery,Bannerghatta Road,Medium,Average
Dande's Hyderabad Biryani,Bannerghatta Road,Casual Dining,Yes,No,3.8,207,700,"Biryani, Andhra, North Indian",Delivery,Bannerghatta Road,Medium,Average
Onesta,JP Nagar,"Casual Dining, Cafe",Yes,Yes,4.4,4381,600,"Pizza, Cafe, Italian",Delivery,Bannerghatta Road,Medium,Excellent
Upahara Bhavan,Bannerghatta Road,Quick Bites,Yes,No,3.8,55,300,"South Indian, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Shuddh Desi Khana,Bannerghatta Road,Quick Bites,Yes,No,4.0,597,400,North Indian,Delivery,Bannerghatta Road,Medium,Excellent
Sankranthi Veg Restaurant,BTM,Casual Dining,Yes,No,3.0,102,600,"South Indian, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Aramane Donne Biriyani,BTM,Quick Bites,Yes,No,3.9,189,300,"Biryani, Fast Food",Delivery,Bannerghatta Road,Medium,Average
Cafe Potpourri,JP Nagar,Cafe,Yes,No,3.7,131,400,"Cafe, Sandwich, North Indian, Beverages, Desserts",Delivery,Bannerghatta Road,Medium,Average
Mani's Dum Biryani,JP Nagar,Casual Dining,Yes,No,4.2,373,750,"Biryani, Kebab",Delivery,Bannerghatta Road,High,Excellent
Amontron,BTM,Casual Dining,Yes,No,3.9,435,650,Bengali,Delivery,Bannerghatta Road,Medium,Average
Birinz,BTM,Casual Dining,Yes,No,4.1,292,700,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Delivery,Bannerghatta Road,Medium,Excellent
Just Shawarma,Bannerghatta Road,Quick Bites,Yes,No,3.6,137,300,Arabian,Delivery,Bannerghatta Road,Medium,Average
Hyderabadi Bawarchi,Bannerghatta Road,Casual Dining,Yes,No,3.2,133,500,"North Indian, Chinese, Biryani",Delivery,Bannerghatta Road,Medium,Average
Fish Chain,JP Nagar,"Takeaway, Delivery",Yes,No,3.9,37,250,"Seafood, BBQ, Biryani",Delivery,Bannerghatta Road,Low,Average
Prasiddhi Food Corner,JP Nagar,Quick Bites,Yes,No,3.7,170,200,"Fast Food, North Indian, South Indian",Delivery,Bannerghatta Road,Low,Average
Hyderabad Biryaani House,Bannerghatta Road,Casual Dining,Yes,No,3.6,794,550,"Biryani, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Galito's,Bannerghatta Road,Casual Dining,Yes,No,4.6,404,1000,"African, Burger",Delivery,Bannerghatta Road,High,Excellent
Rajdhani Thali Restaurant,Bannerghatta Road,Casual Dining,Yes,Yes,3.9,561,900,North Indian,Delivery,Bannerghatta Road,High,Average
PHEW (Play Hard Eat Wild),BTM,Cafe,Yes,Yes,3.9,486,700,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",Delivery,Bannerghatta Road,Medium,Average
Chicken County Grand,Bannerghatta Road,Casual Dining,Yes,No,3.9,320,650,"North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Roll Over,JP Nagar,Dessert Parlor,Yes,No,4.1,237,500,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",Delivery,Bannerghatta Road,Medium,Excellent
Savoury - Sea Shell Restaurant,Bannerghatta Road,Casual Dining,Yes,Yes,3.9,1227,900,"Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",Delivery,Bannerghatta Road,High,Average
Firangi Bake,Bannerghatta Road,Delivery,Yes,No,4.0,95,600,"Mexican, Italian",Delivery,Bannerghatta Road,Medium,Excellent
Zaitoon,JP Nagar,Casual Dining,Yes,Yes,4.1,1538,1000,"BBQ, Arabian, Chinese, North Indian, Desserts",Delivery,Bannerghatta Road,High,Excellent
Kundana,Bannerghatta Road,Casual Dining,Yes,No,3.7,110,800,"Andhra, Biryani",Delivery,Bannerghatta Road,High,Average
The Shawarma Shop,BTM,Quick Bites,Yes,No,4.1,381,250,Arabian,Delivery,Bannerghatta Road,Low,Excellent
Faasos,Bannerghatta Road,Delivery,Yes,No,3.9,251,500,"North Indian, Biryani, Fast Food",Delivery,Bannerghatta Road,Medium,Average
Punjabi Food Corner,JP Nagar,Quick Bites,Yes,No,3.0,353,400,"North Indian, Chinese, Street Food",Delivery,Bannerghatta Road,Medium,Average
Mealer.in,JP Nagar,Delivery,Yes,No,4.0,205,450,"North Indian, Biryani",Delivery,Bannerghatta Road,Medium,Excellent
Pathaan Sir,BTM,Quick Bites,Yes,No,3.9,183,250,"Fast Food, Rolls, Momos",Delivery,Bannerghatta Road,Low,Average
Cold Stone Creamery,Bannerghatta Road,Dessert Parlor,Yes,No,3.9,99,400,"Ice Cream, Desserts",Delivery,Bannerghatta Road,Medium,Average
Amritsari Kulcha Land,JP Nagar,Quick Bites,Yes,No,4.1,260,300,North Indian,Delivery,Bannerghatta Road,Medium,Excellent
Chokha Chowka,BTM,Quick Bites,Yes,No,3.9,355,400,"North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Gorbandh,BTM,Quick Bites,Yes,No,4.1,83,400,"Fast Food, North Indian",Delivery,Bannerghatta Road,Medium,Excellent
Grills & Rolls,JP Nagar,Quick Bites,Yes,No,2.5,321,400,"North Indian, Chinese, Fast Food, Rolls, Juices",Delivery,Bannerghatta Road,Medium,Poor
Bathinda Junction,BTM,Casual Dining,Yes,No,3.9,362,600,North Indian,Delivery,Bannerghatta Road,Medium,Average
Stories,JP Nagar,"Pub, Casual Dining",Yes,Yes,4.2,2166,1200,"American, Chinese, Continental, North Indian",Delivery,Bannerghatta Road,High,Excellent
Kanti Sweets,JP Nagar,Sweet Shop,Yes,No,4.0,182,400,"Mithai, Street Food",Delivery,Bannerghatta Road,Medium,Excellent
Seasons,Bannerghatta Road,Casual Dining,Yes,Yes,3.8,500,1000,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",Delivery,Bannerghatta Road,High,Average
Chung Wah,Bannerghatta Road,Casual Dining,Yes,No,4.0,532,800,"Chinese, Thai, Momos, Vietnamese",Delivery,Bannerghatta Road,High,Excellent
Marwa Restaurant,Bannerghatta Road,Casual Dining,Yes,Yes,3.5,551,600,"North Indian, Chinese, Fast Food, BBQ",Delivery,Bannerghatta Road,Medium,Average
Shanghai Court,Bannerghatta Road,Casual Dining,Yes,No,4.2,421,700,"Chinese, Thai",Delivery,Bannerghatta Road,Medium,Excellent
Bhojohori Manna,JP Nagar,Casual Dining,Yes,No,3.7,662,650,"Bengali, Mughlai",Delivery,Bannerghatta Road,Medium,Average
Hunger Bee,Bannerghatta Road,Quick Bites,Yes,No,3.8,54,500,"Biryani, North Indian, South Indian",Delivery,Bannerghatta Road,Medium,Average
Yum In My Tum,BTM,Quick Bites,Yes,No,4.1,92,300,"Chinese, Continental, Fast Food, Healthy Food",Delivery,Bannerghatta Road,Medium,Excellent
Biryani Miya,JP Nagar,Delivery,Yes,No,3.7,36,600,"Biryani, North Indian",Delivery,Bannerghatta Road,Medium,Average
Chulha Chauki Da Dhaba,JP Nagar,Casual Dining,Yes,No,4.2,2350,800,North Indian,Delivery,Bannerghatta Road,High,Excellent
Dreamcatcher,Bannerghatta Road,Cafe,Yes,No,3.9,49,600,Cafe,Delivery,Bannerghatta Road,Medium,Average
Magix's Parattha Roll,BTM,Quick Bites,Yes,No,3.7,184,400,"Fast Food, North Indian, Chinese, Mughlai, Rolls",Delivery,Bannerghatta Road,Medium,Average
Elegant Dining,Bannerghatta Road,Casual Dining,Yes,Yes,3.6,225,700,"Biryani, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Waffle Head,BTM,"Dessert Parlor, Beverage Shop",Yes,No,4.0,35,300,"Desserts, Beverages, Bakery, Ice Cream",Delivery,Bannerghatta Road,Medium,Excellent
Basmati Delights,BTM,Delivery,Yes,No,4.0,869,500,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Delivery,Bannerghatta Road,Medium,Excellent
Samosa Singh,JP Nagar,Quick Bites,Yes,No,4.0,153,200,"Street Food, Fast Food, Rolls, Desserts",Delivery,Bannerghatta Road,Low,Excellent
Cravings,Bannerghatta Road,Quick Bites,Yes,No,3.7,139,400,"North Indian, Chinese, Rolls",Delivery,Bannerghatta Road,Medium,Average
Matka,Bannerghatta Road,Delivery,Yes,No,3.7,181,500,"Biryani, North Indian",Delivery,Bannerghatta Road,Medium,Average
Punjabi Swag,BTM,Casual Dining,Yes,No,3.9,669,500,North Indian,Delivery,Bannerghatta Road,Medium,Average
Taco Bell,Bannerghatta Road,Quick Bites,Yes,No,3.7,168,600,"Mexican, American, Fast Food",Delivery,Bannerghatta Road,Medium,Average
Mother's Rasoi,Bannerghatta Road,Quick Bites,Yes,No,3.8,170,250,"North Indian, Chinese, Momos",Delivery,Bannerghatta Road,Low,Average
Dosa Bazaar,JP Nagar,Quick Bites,Yes,No,4.0,112,200,"Street Food, South Indian",Delivery,Bannerghatta Road,Low,Excellent
The Bong Palate,BTM,Quick Bites,Yes,No,3.8,58,300,"Bengali, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Upahara Darshini,Jayanagar,Quick Bites,Yes,No,4.0,167,400,"South Indian, North Indian, Chinese",Delivery,Bannerghatta Road,Medium,Excellent
Bikaner Jn,JP Nagar,Quick Bites,Yes,No,3.9,85,300,Rajasthani,Delivery,Bannerghatta Road,Medium,Average
Crunch Pizzas,BTM,Quick Bites,Yes,No,2.6,473,600,"Italian, Pizza",Delivery,Bannerghatta Road,Medium,Poor
Kakal-Kai Ruchi,JP Nagar,Casual Dining,Yes,No,3.7,217,500,"North Indian, South Indian, Chinese",Delivery,Bannerghatta Road,Medium,Average
Calorie Express,BTM,Delivery,Yes,No,3.6,192,450,Healthy Food,Delivery,Bannerghatta Road,Medium,Average
BANGALORE BOX,BTM,"Casual Dining, Bar",Yes,Yes,4.2,611,1500,"Asian, Continental, Finger Food",Delivery,Bannerghatta Road,High,Excellent
Ovenstory Pizza,Bannerghatta Road,Delivery,Yes,No,4.0,166,750,Pizza,Delivery,Bannerghatta Road,High,Excellent
Slate Cafe,JP Nagar,Cafe,Yes,No,4.1,46,600,"Cafe, Sandwich, Burger",Delivery,Bannerghatta Road,Medium,Excellent
Chavadi,Bannerghatta Road,"Casual Dining, Bar",Yes,Yes,4.4,2233,1200,"Continental, North Indian, Pizza, Italian",Delivery,Bannerghatta Road,High,Excellent
Nanna Munna Paratha House,BTM,Quick Bites,Yes,No,4.0,107,300,North Indian,Delivery,Bannerghatta Road,Medium,Excellent
Cucumber Town,BTM,Delivery,Yes,No,4.2,306,600,"Kerala, North Indian",Delivery,Bannerghatta Road,Medium,Excellent
Oye Amritsar,JP Nagar,Casual Dining,Yes,Yes,3.8,756,1000,North Indian,Delivery,Bannerghatta Road,High,Average
Brewsky,JP Nagar,Microbrewery,Yes,Yes,4.4,4309,1600,"Continental, American",Delivery,Bannerghatta Road,High,Excellent
Chefeana,Bannerghatta Road,Quick Bites,Yes,No,4.0,212,400,North Indian,Delivery,Bannerghatta Road,Medium,Excellent
Bangaliana,Bannerghatta Road,Quick Bites,Yes,No,2.9,153,600,Bengali,Delivery,Bannerghatta Road,Medium,Poor
Gud Dhani,BTM,Casual Dining,Yes,No,4.0,827,500,Rajasthani,Delivery,Bannerghatta Road,Medium,Excellent
McDonald's,Bannerghatta Road,Quick Bites,Yes,No,4.0,256,500,"Burger, Fast Food",Delivery,Bannerghatta Road,Medium,Excellent
WAFL,Bannerghatta Road,Food Court,Yes,No,3.9,40,400,"Cafe, Fast Food, Desserts, Beverages",Delivery,Bannerghatta Road,Medium,Average
Deejas Kitchen,Bannerghatta Road,"Takeaway, Delivery",Yes,No,3.9,73,400,"South Indian, Kerala",Delivery,Bannerghatta Road,Medium,Average
Pancuzzi,JP Nagar,Cafe,Yes,No,4.2,169,600,"Cafe, Beverages, Desserts",Delivery,Bannerghatta Road,Medium,Excellent
Zhang's - Chinese Restaurant,JP Nagar,Casual Dining,Yes,No,4.1,586,700,"Chinese, Momos",Delivery,Bannerghatta Road,Medium,Excellent
